SLUR RATE,PROP CON,TR PRESS
86.0,0.0,8488.0
86.6,0.0,8467.0
87.1,0.0,8465.0
87.4,0.0,8433.0
87.8,0.0,8425.0
87.9,0.0,8447.0
88.2,0.0,8475.0
88.4,0.0,8499.0
88.6,0.0,8528.0
88.9,0.0,8536.0
89.1,0.0,8567.0
89.1,0.0,8562.0
89.4,0.0,8557.0
89.5,0.0,8559.0
89.6,0.0,8540.0
89.9,0.0,8536.0
90.0,0.0,8555.0
90.1,0.0,8541.0
90.2,0.0,8546.0
90.3,0.0,8558.0
90.4,0.0,8556.0
90.4,0.0,8560.0
90.4,0.0,8565.0
90.4,0.0,8555.0
90.5,0.0,8566.0
90.5,0.0,8585.0
90.5,0.0,8590.0
90.4,0.0,8577.0
90.5,0.0,8576.0
90.6,0.0,8583.0
90.6,0.0,8590.0
90.6,0.0,8613.0
90.7,0.0,8612.0
90.6,0.0,8599.0
90.7,0.0,8609.0
90.7,0.0,8607.0
90.6,0.0,8619.0
90.6,0.0,8638.0
90.6,0.0,8638.0
90.7,0.0,8635.0
90.6,0.0,8649.0
90.5,0.0,8639.0
90.6,0.0,8638.0
90.5,0.0,8661.0
90.6,0.0,8659.0
90.6,0.0,8667.0
90.6,0.0,8671.0
90.6,0.0,8656.0
90.7,0.0,8670.0
90.7,0.0,8676.0
90.6,0.0,8689.0
90.7,0.0,8702.0
90.6,0.0,8693.0
90.6,0.0,8689.0
90.6,0.0,8702.0
90.6,0.0,8708.0
90.6,0.0,8706.0
90.7,0.0,8687.0
90.6,0.0,8670.0
90.6,0.0,8657.0
90.7,0.0,8621.0
90.6,0.0,8593.0
90.7,0.0,8568.0
90.7,0.0,8519.0
90.7,0.0,8496.0
90.7,0.0,8451.0
90.7,0.0,8413.0
90.7,0.0,8370.0
90.6,0.0,8349.0
90.6,0.0,8327.0
90.6,0.0,8306.0
90.7,0.0,8311.0
90.7,0.0,8291.0
90.7,0.0,8265.0
90.7,0.0,8295.0
90.6,0.0,8277.0
90.7,0.0,8222.0
90.9,0.0,8206.0
91.0,0.0,8176.0
91.0,0.0,8143.0
91.1,0.0,8133.0
91.3,0.0,8169.0
91.4,0.0,8175.0
91.5,0.0,8167.0
91.6,0.0,8178.0
91.6,0.0,8168.0
91.7,0.0,8172.0
91.7,0.0,8180.0
91.9,0.0,8171.0
92.2,0.0,8185.0
92.3,0.0,8034.0
92.4,0.0,8084.0
92.5,0.0,8184.0
92.1,0.0,8207.0
92.3,0.0,8191.0
92.6,0.0,8364.0
92.8,0.0,8267.0
93.1,0.0,8232.0
93.4,0.0,8238.0
93.5,0.0,8256.0
93.6,0.0,7974.0
93.8,0.0,8175.0
93.4,0.0,8257.0
93.2,0.0,8283.0
93.6,0.0,8297.0
93.8,0.0,8367.0
94.1,0.0,8303.0
94.5,0.0,8324.0
94.6,0.0,8353.0
94.8,0.0,8330.0
95.0,0.0,8043.0
95.2,0.0,8295.0
94.6,0.0,8349.0
94.8,0.0,8380.0
95.2,0.0,8394.0
95.7,0.0,8511.0
96.0,0.0,8418.0
96.2,0.0,8423.0
96.3,0.0,8415.0
96.5,0.0,8396.0
96.8,0.0,8292.0
96.7,0.0,8408.0
96.4,0.0,8400.0
96.8,0.0,8377.0
97.3,0.0,8467.0
97.5,0.0,8372.0
97.8,0.0,8015.0
98.0,0.0,8119.0
97.9,0.0,8200.0
97.5,0.0,8167.0
97.8,0.0,8015.403952700077
98.1,0.0,8135.200000162216
98.8,0.0,8098.0
99.0,0.0,8074.458823606023
99.3,0.0,8074.839997341547
99.5,0.0,8078.400001429614
99.6,0.0,8077.015285893453
99.8,0.0,8066.5
100.0,0.0,8096.5
100.2,0.0,8096.5
100.3,0.0,8096.5
100.4,0.0,8096.5
100.5,0.0,8096.5
100.5,0.0,8096.5
100.4,0.0,8096.5
100.4,0.0,8096.5
100.5,0.0,8096.5
100.5,0.0,8096.5
100.5,0.0,8096.5
100.6,0.0,8096.5
100.6,0.0,8096.5
100.6,0.30000000000000004,8152.0
100.6,0.30000000000000004,8152.0
100.6,0.30000000000000004,8152.0
100.6,0.30000000000000004,8152.0
100.7,0.30000000000000004,8152.0
100.7,0.30000000000000004,8152.0
100.7,0.30000000000000004,8152.0
100.8,0.30000000000000004,8162.5
100.8,0.30000000000000004,8162.5
100.7,0.30000000000000004,8158.0
100.7,0.30000000000000004,8161.0
100.6,0.30000000000000004,8158.0
100.6,0.30000000000000004,8148.0
100.6,0.30000000000000004,8153.0
100.5,0.30000000000000004,8145.0
100.6,0.30000000000000004,8152.0
100.6,0.30000000000000004,8151.0
100.5,0.30000000000000004,8141.0
100.6,0.30000000000000004,8152.0
100.5,0.30000000000000004,8136.0
100.6,0.30000000000000004,8134.0
100.6,0.30000000000000004,8141.0
100.7,0.30000000000000004,8140.0
100.6,0.30000000000000004,8156.0
100.6,0.30000000000000004,8157.0
100.5,0.30000000000000004,8144.0
100.6,0.30000000000000004,8150.0
100.6,0.30000000000000004,8154.0
100.6,0.30000000000000004,8155.0
100.5,0.30000000000000004,8166.0
100.5,0.30000000000000004,8148.0
100.6,0.30000000000000004,8148.0
100.6,0.30000000000000004,8156.0
100.7,0.30000000000000004,8147.0
100.6,0.30000000000000004,8143.0
100.6,0.30000000000000004,8146.0
100.8,0.30000000000000004,8148.0
100.7,0.30000000000000004,8154.0
100.8,0.30000000000000004,8147.0
100.7,0.30000000000000004,8139.0
100.7,0.30000000000000004,8150.0
100.7,0.30000000000000004,8149.0
100.7,0.30000000000000004,8149.0
100.7,0.30000000000000004,8156.0
100.7,0.30000000000000004,8145.0
100.7,0.30000000000000004,8149.0
100.7,0.30000000000000004,8152.0
100.7,0.30000000000000004,8149.0
100.7,0.30000000000000004,8161.0
100.7,0.30000000000000004,8145.0
100.6,0.30000000000000004,8144.0
100.7,0.30000000000000004,8149.0
100.6,0.30000000000000004,8138.0
100.7,0.30000000000000004,8152.0
100.6,0.30000000000000004,8154.0
100.6,0.30000000000000004,8139.0
100.7,0.30000000000000004,8142.0
100.6,0.30000000000000004,8151.0
100.6,0.30000000000000004,8144.0
100.7,0.30000000000000004,8155.0
100.6,0.30000000000000004,8148.0
100.6,0.30000000000000004,8150.0
100.6,0.30000000000000004,8164.0
100.7,0.30000000000000004,8145.0
100.7,0.30000000000000004,8148.0
100.6,0.30000000000000004,8148.0
100.6,0.30000000000000004,8151.0
100.6,0.30000000000000004,8166.0
100.7,0.30000000000000004,8161.0
100.7,0.30000000000000004,8164.0
100.6,0.30000000000000004,8153.0
100.7,0.30000000000000004,8152.0
100.5,0.30000000000000004,8165.0
100.6,0.30000000000000004,8165.0
100.6,0.30000000000000004,8159.0
100.7,0.30000000000000004,8160.0
100.6,0.30000000000000004,8160.0
100.7,0.30000000000000004,8157.0
100.7,0.30000000000000004,8162.0
100.7,0.30000000000000004,8163.0
100.7,0.30000000000000004,8156.0
100.7,0.30000000000000004,8156.0
